ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
71642827;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71642920;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71642864;0;0;0;0;0.83;378.875;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71642983;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71642950;0;0;0;0;0.828;377.735;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643077;40.3;25.8;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643022;0;0;0;0;0.828;377.735;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643139;40.3;25.7;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643107;0;0;0;0;0.833;380.012;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643202;40.3;25.7;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643170;0;0;0;0;0.833;380.012;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643264;40.3;25.7;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643233;0;0;0;0;0.838;382.275;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643358;40.2;25.8;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643297;0;0;0;0;0.83;378.875;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643421;40.2;25.7;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643388;0;0;0;0;0.825;376.591;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643483;40.3;25.7;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643452;0;0;0;0;0.843;384.522;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643577;40.3;25.8;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643517;0;0;0;0;0.845;385.64;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643640;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643607;0;0;0;0;0.823;375.444;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643702;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643671;0;0;0;0;0.83;378.875;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643764;40.3;25.8;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643739;0;0;0;0;0.828;377.735;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643858;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643796;0;0;0;0;0.83;378.875;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643921;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643888;0;0;0;0;0.828;377.735;0;0.02;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71643983;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71643952;0;0;0;0;0.828;377.735;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644077;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644019;0;0;0;0;0.84;383.4;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644140;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644107;0;0;0;0;0.83;378.875;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644202;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644171;0;0;0;0;0.828;377.735;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644265;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644233;0;0;0;0;0.828;377.735;0;0.06;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644358;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644299;0;0;0;0;0.828;377.735;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644421;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644388;0;0;0;0;0.813;370.825;0;0.02;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
